,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Oyako Donburi,64mg,278,282mg,1.7g,58mcg,2mg,51mg,17mg,145,524mg,29.6g,4.67479658126831,43628/oyako-donburi/,japanese,3.0g,1349mg,9g,0mg,Oyako Donburi,15.7g,10.8g,3000IU,1mg,6mg
Oyakodon (Japanese Chicken and Egg Rice Bowl),80mg,688,208mg,2.2g,57mcg,3mg,46mg,11mg,199,510mg,35.3g,4.53508758544922,128589/oyakodon-japanese-chicken-and-egg-rice-bowl/,japanese,4.0g,1226mg,17g,0mg,Oyakodon (Japanese Chicken and Egg Rice Bowl),97.9g,14.6g,311IU,0mg,4mg
Ashley's Chicken Katsu with Tonkatsu Sauce,127mg,718,136mg,1.6g,92mcg,7mg,53mg,17mg,127,947mg,30.2g,4.23893785476685,75981/ashleys-chicken-katsu-with-tonkatsu-sauce/,japanese,7.0g,2290mg,15g,0mg,Ashley's Chicken Katsu with Tonkatsu Sauce,73.1g,36.8g,594IU,0mg,15mg
Moroccan Lentil Soup,121mg,329,0mg,18g,255mcg,6mg,107mg,4mg,499.0,923mg,18.3g,4.37618160247803,12960/moroccan-lentil-soup/,north-african,1.0g,317mg,5g,0mg,Moroccan Lentil Soup,56.5g,3.6g,2181IU,1mg,16mg
Marrakesh Vegetable Curry,130mg,330,0mg,10.5g,189mcg,11mg,120mg,4mg,596.0,1084mg,8g,4.55941486358643,13988/marrakesh-vegetable-curry/,north-african,2.0g,874mg,13g,0mg,Marrakesh Vegetable Curry,39g,18g,12444IU,1mg,89mg
Slow Cooker Chicken Marrakesh,89mg,290,66mg,6.3g,47mcg,3mg,75mg,20mg,936.0,886mg,30.6g,4.18145942687988,218769/slow-cooker-chicken-marrakesh/,north-african,0.0g,625mg,7g,0mg,Slow Cooker Chicken Marrakesh,36g,2g,19569IU,1mg,12mg
Moroccan Tagine,146mg,265,20mg,8.1g,99mcg,4mg,87mg,7mg,407.0,905mg,14.1g,4.425000190734861,69633/moroccan-tagine/,north-african,1.0g,878mg,9g,0mg,Moroccan Tagine,44.7g,4.3g,20359IU,1mg,46mg
Moroccan Chicken,99mg,286,67mg,6.3g,86mcg,4mg,84mg,22mg,358.0,1086mg,36g,4.305232524871831,18182/moroccan-chicken/,north-african,1.0g,2128mg,5g,0mg,Moroccan Chicken,27.9g,3.7g,5893IU,1mg,24mg
Lamb Tagine,76mg,423,109mg,4.6g,48mcg,4mg,50mg,14mg,410.0,659mg,35.8g,4.66666650772095,105044/lamb-tagine/,north-african,5.0g,1129mg,11g,0mg,Lamb Tagine,23.6g,20.5g,13396IU,0mg,13mg
Make-Ahead Vegetarian Moroccan Stew,196mg,543,5mg,24g,252mcg,7mg,149mg,8mg,362.0,2046mg,19.5g,4.54915237426758,217109/make-ahead-vegetarian-moroccan-stew/,north-african,2.0g,1218mg,23g,1mg,Make-Ahead Vegetarian Moroccan Stew,110.6g,4.2g,26614IU,1mg,80mg
Chakchouka (Shakshouka),60mg,209,164mg,3.1g,53mcg,2mg,31mg,3mg,559.0,511mg,7.8g,4.610526084899901,213717/chakchouka-shakshouka/,north-african,3.0g,654mg,7g,0mg,Chakchouka (Shakshouka),12.9g,15g,1678IU,0mg,65mg
Chicken Tagine,50mg,380,65mg,4.2g,29mcg,2mg,41mg,10mg,189.0,500mg,22.3g,4.21505355834961,180014/chicken-tagine/,north-african,4.0g,571mg,14g,0mg,Chicken Tagine,38.5g,15.2g,6494IU,0mg,8mg
Moroccan Chicken and Whole Grain Couscous,91mg,399,67mg,7.8g,94mcg,4mg,74mg,15mg,140.0,739mg,33.4g,4.374149799346919,83565/moroccan-chicken-and-whole-grain-couscous/,north-african,1.0g,1539mg,4g,0mg,Moroccan Chicken and Whole Grain Couscous,50.7g,6.7g,4054IU,1mg,18mg
Harira,86mg,467,116mg,13.3g,222mcg,6mg,81mg,11mg,153.0,689mg,29.4g,4.551723957061769,13443/harira/,north-african,6.0g,594mg,6g,0mg,Harira,50g,16.7g,1170IU,1mg,38mg
Moroccan Couscous,53mg,246,0mg,5.2g,31mcg,2mg,49mg,3mg,136.0,447mg,8.4g,4.496350288391111,105045/moroccan-couscous/,north-african,0.0g,263mg,10g,0mg,Moroccan Couscous,48.1g,2.6g,208IU,0mg,30mg
Spanish Moroccan Fish,105mg,268,70mg,3.3g,48mcg,3mg,82mg,9mg,165.0,1078mg,41.7g,4.40157461166382,133895/spanish-moroccan-fish/,north-african,1.0g,381mg,3g,0mg,Spanish Moroccan Fish,12.6g,5.1g,3209IU,1mg,38mg
Fava Bean Breakfast Spread,34mg,101,0mg,3.5g,37mcg,1mg,32mg,2mg,72.0,316mg,4.6g,4.59756088256836,17596/fava-bean-breakfast-spread/,north-african,1.0g,322mg,2g,0mg,Fava Bean Breakfast Spread,13.6g,3.7g,477IU,0mg,14mg
25-Minute Tunisian Vegetable Couscous,84mg,387,&lt; 1mg,8.8g,86mcg,3mg,68mg,6mg,72.0,487mg,13.6g,4.14666652679443,168959/25-minute-tunisian-vegetable-couscous/,north-african,1.0g,699mg,5g,0mg,25-Minute Tunisian Vegetable Couscous,72.1g,4.9g,2045IU,1mg,53mg
Moroccan Chickpea Stew,296mg,476,0mg,13.6g,130mcg,9mg,120mg,7mg,129.0,1832mg,15.7g,4.66197204589844,217947/moroccan-chickpea-stew/,north-african,1.0g,1263mg,27g,0mg,Moroccan Chickpea Stew,96.1g,6.5g,18799IU,1mg,170mg
Cold Roasted Moroccan Spiced Salmon,25mg,225,84mg,0.3g,35mcg,1mg,46mg,18mg,68.0,755mg,30.2g,4.42028999328613,110025/cold-roasted-moroccan-spiced-salmon/,north-african,2.0g,261mg,1g,0mg,Cold Roasted Moroccan Spiced Salmon,2.2g,9.8g,74IU,1mg,1mg
Algerian Carrots,55mg,157,0mg,4.8g,22mcg,1mg,17mg,1mg,92.0,370mg,1.3g,4.1904764175414995,99244/algerian-carrots/,north-african,2.0g,476mg,5g,0mg,Algerian Carrots,13.5g,11.6g,25786IU,0mg,6mg
Bissara,62mg,371,0mg,19.5g,219mcg,4mg,93mg,6mg,52.0,810mg,18.7g,4.20634937286377,104405/bissara/,north-african,2.0g,18mg,6g,1mg,Bissara,46.3g,13.5g,1317IU,0mg,16mg
Adriel's Chinese Curry Chicken,34mg,241,46mg,3.2g,26mcg,2mg,47mg,10mg,126,634mg,20.1g,4.6197180747985795,214774/adriels-chinese-curry-chicken/,chinese,2.0g,864mg,3g,0mg,Adriel's Chinese Curry Chicken,24.1g,7.1g,21IU,1mg,24mg
General Tsao's Chicken II,58mg,634,101mg,0.8g,14mcg,3mg,26mg,9mg,2k,530mg,24.3g,4.754337787628169,91499/general-tsaos-chicken-ii/,chinese,6.0g,1192mg,18g,0mg,General Tsao's Chicken II,54.9g,36.5g,133IU,0mg,8mg
Sweet and Sour Pork III,57mg,663,43mg,2.3g,31mcg,1mg,34mg,6mg,1k,516mg,13.9g,4.7032642364502,31144/sweet-and-sour-pork-iii/,chinese,7.0g,1085mg,52g,0mg,Sweet and Sour Pork III,74.7g,35g,485IU,0mg,36mg
Honey Walnut Shrimp,69mg,605,179mg,1.5g,19mcg,3mg,65mg,5mg,714,317mg,26.1g,4.51214551925659,93234/honey-walnut-shrimp/,chinese,4.0g,340mg,45g,0mg,Honey Walnut Shrimp,68g,26.3g,247IU,0mg,2mg
Moo Goo Gai Pan,72mg,409,86mg,8.3g,106mcg,5mg,64mg,23mg,108,800mg,41.7g,4.37634420394897,165846/moo-goo-gai-pan/,chinese,3.0g,990mg,9g,0mg,Moo Goo Gai Pan,30.9g,14.3g,397IU,1mg,55mg
Crispy Orange Beef,122mg,507,60mg,5.9g,197mcg,5mg,79mg,11mg,1k,983mg,27.4g,4.47152853012085,57966/crispy-orange-beef/,chinese,5.0g,651mg,17g,0mg,Crispy Orange Beef,59.2g,18.7g,1280IU,1mg,189mg
Restaurant Style Beef and Broccoli,61mg,331,52mg,3g,79mcg,3mg,45mg,8mg,2k,683mg,21.7g,4.4359230995178205,191156/restaurant-style-beef-and-broccoli/,chinese,5.0g,419mg,3g,0mg,Restaurant Style Beef and Broccoli,13.3g,21.1g,707IU,1mg,102mg
Chicken Broccoli Ca - Unieng's Style,111mg,170,33mg,2.5g,82mcg,2mg,44mg,10mg,266,520mg,16.2g,4.32456159591675,46819/chicken-broccoli-ca-uniengs-style/,chinese,1.0g,418mg,3g,0mg,Chicken Broccoli Ca - Unieng's Style,9.8g,7.9g,3422IU,1mg,75mg
Chinese Barbeque Pork (Char Siu),57mg,513,90mg,0.8g,14mcg,3mg,40mg,10mg,89,504mg,26g,4.72222232818604,258494/chinese-barbeque-pork-char-siu/,chinese,8.0g,2421mg,42g,1mg,Chinese Barbeque Pork (Char Siu),49.1g,21.9g,165IU,0mg,3mg
Szechwan Shrimp,46mg,142,164mg,0.4g,9mcg,3mg,35mg,3mg,3k,230mg,18.3g,4.42688655853271,86230/szechwan-shrimp/,chinese,1.0g,500mg,4g,0mg,Szechwan Shrimp,6.7g,4.4g,476IU,0mg,5mg
Chinese Chicken Fried Rice II,31mg,255,83mg,1g,60mcg,2mg,26mg,6mg,4k,172mg,14.1g,4.39255571365356,16954/chinese-chicken-fried-rice-ii/,chinese,3.0g,516mg,1g,0mg,Chinese Chicken Fried Rice II,25.9g,10.2g,169IU,0mg,2mg
Kung Pao Chicken,49mg,437,66mg,4.2g,60mcg,2mg,93mg,23mg,1k,621mg,34.4g,4.28528547286987,9027/kung-pao-chicken/,chinese,4.0g,596mg,7g,0mg,Kung Pao Chicken,25.3g,23.3g,174IU,1mg,6mg
Asian Beef with Snow Peas,34mg,203,39mg,1.5g,23mcg,3mg,32mg,6mg,1k,343mg,16g,4.30254030227661,15679/asian-beef-with-snow-peas/,chinese,3.0g,711mg,6g,0mg,Asian Beef with Snow Peas,9.7g,10g,66IU,0mg,26mg
Sweet and Sour Chicken I,158mg,639,160mg,1.8g,86mcg,4mg,82mg,40mg,1k,742mg,59.2g,4.50506734848022,8536/sweet-and-sour-chicken-i/,chinese,3.0g,759mg,24g,0mg,Sweet and Sour Chicken I,56.2g,18.4g,201IU,1mg,29mg
Mongolian Beef and Spring Onions,130mg,391,27mg,3.3g,81mcg,4mg,52mg,8mg,1k,606mg,18g,4.61104440689087,201849/mongolian-beef-and-spring-onions/,chinese,3.0g,1862mg,39g,0mg,Mongolian Beef and Spring Onions,54.7g,12.1g,1122IU,0mg,22mg
Chinese Pepper Steak,25mg,312,69mg,1.7g,26mcg,4mg,45mg,10mg,1k,647mg,26.1g,4.57202196121216,172704/chinese-pepper-steak/,chinese,3.0g,972mg,10g,0mg,Chinese Pepper Steak,17g,15.4g,490IU,1mg,32mg
Grilled Asian Chicken,18mg,217,67mg,0.2g,6mcg,1mg,31mg,16mg,645,255mg,25.7g,4.47916650772095,8919/grilled-asian-chicken/,chinese,1.0g,961mg,9g,0mg,Grilled Asian Chicken,10.6g,7.6g,17IU,1mg,1mg
Black Pepper Beef and Cabbage Stir Fry,52mg,280,48mg,3.1g,57mcg,2mg,29mg,6mg,834,380mg,11.6g,4.24478197097778,50233/black-pepper-beef-and-cabbage-stir-fry/,chinese,7.0g,547mg,4g,0mg,Black Pepper Beef and Cabbage Stir Fry,9.5g,22.1g,1021IU,0mg,72mg
"Super-Simple, Super-Spicy Mongolian Beef",29mg,200,25mg,1.2g,18mcg,2mg,25mg,6mg,500,289mg,15.4g,4.56839609146118,148831/super-simple-super-spicy-mongolian-beef/,chinese,3.0g,996mg,4g,0mg,"Super-Simple, Super-Spicy Mongolian Beef",7.9g,11.9g,1061IU,0mg,5mg
Slow Cooker Mongolian Beef,94mg,450,47mg,2.2g,43mcg,3mg,56mg,12mg,508,620mg,28g,3.9417722225189196,195083/slow-cooker-mongolian-beef/,chinese,4.0g,2391mg,38g,0mg,Slow Cooker Mongolian Beef,55.4g,13g,190IU,1mg,6mg
Coconut Coconut Milk Cake,80mg,241,51mg,1.1g,26mcg,1mg,15mg,1mg,112,82mg,2.8g,4.6097559928894,237023/coconut-coconut-milk-cake/,south-american,10.0g,289mg,17g,0mg,Coconut Coconut Milk Cake,26.4g,14.6g,277IU,0mg,0mg
Argentine Meat Empanadas,28mg,498,73mg,1.5g,51mcg,3mg,22mg,7mg,131,213mg,14.7g,4.16964292526245,12512/argentine-meat-empanadas/,south-american,10.0g,326mg,4g,0mg,Argentine Meat Empanadas,27.7g,36.8g,455IU,0mg,2mg
"Silpancho from Cochabamba, Bolivia",207mg,928,235mg,9.6g,284mcg,10mg,125mg,21mg,9,1615mg,43.1g,4.75,255744/silpancho-from-cochabamba-bolivia/,south-american,6.0g,558mg,10g,1mg,"Silpancho from Cochabamba, Bolivia",133.8g,23.7g,733IU,1mg,73mg
Brazilian Cheese Rolls (Pao de Queijo),166mg,199,36mg,0g,5mcg,0mg,8mg,1mg,78,34mg,5.8g,4.52631568908691,221430/brazilian-cheese-rolls-pao-de-queijo/,south-american,4.0g,386mg,0g,0mg,Brazilian Cheese Rolls (Pao de Queijo),17.2g,12g,124IU,0mg,0mg
Chef John's Chimichurri Sauce,52mg,255,0mg,0.8g,27mcg,1mg,14mg,0mg,331,153mg,1g,4.82539701461792,236375/chef-johns-chimichurri-sauce/,south-american,4.0g,304mg,0g,0mg,Chef John's Chimichurri Sauce,3g,27.3g,1812IU,0mg,25mg
Bolivian Saltenas,48mg,482,108mg,4g,119mcg,4mg,39mg,9mg,43,480mg,16.6g,4.0303030014038095,216872/bolivian-saltenas/,south-american,10.0g,551mg,12g,0mg,Bolivian Saltenas,59g,20.3g,1347IU,0mg,17mg
Peruvian Arroz con Pollo,78mg,739,136mg,3.5g,155mcg,5mg,77mg,21mg,96,723mg,45.7g,4.46875,204963/peruvian-arroz-con-pollo/,south-american,7.0g,198mg,6g,1mg,Peruvian Arroz con Pollo,65.2g,29.7g,3664IU,1mg,39mg
Colombian Stewed Flank,45mg,236,36mg,2.1g,23mcg,3mg,32mg,6mg,47,466mg,15.4g,4.3513512611389205,143611/colombian-stewed-flank/,south-american,4.0g,770mg,5g,0mg,Colombian Stewed Flank,9.2g,15.6g,659IU,0mg,14mg
Suspiro Limeno,359mg,401,109mg,0.1g,21mcg,0mg,34mg,3mg,16,461mg,11.6g,4.16666650772095,142175/suspiro-limeno/,south-american,7.0g,171mg,62g,0mg,Suspiro Limeno,62.4g,11.9g,401IU,0mg,3mg
Quinoa and Black Beans,41mg,153,0mg,7.8g,61mcg,2mg,35mg,2mg,7k,333mg,7.7g,4.64437437057495,49552/quinoa-and-black-beans/,south-american,0.0g,517mg,2g,0mg,Quinoa and Black Beans,27.8g,1.7g,362IU,0mg,5mg
Mom's Stovetop Pork Ribs,157mg,461,125mg,3.4g,85mcg,6mg,64mg,14mg,674,710mg,33.5g,4.55195903778076,75811/moms-stovetop-pork-ribs/,south-american,12.0g,1327mg,1g,0mg,Mom's Stovetop Pork Ribs,10.7g,32g,4031IU,1mg,74mg
Brazilian Black Bean Stew,162mg,508,31mg,17.8g,134mcg,8mg,109mg,9mg,510,1476mg,22.8g,4.653276920318599,71808/brazilian-black-bean-stew/,south-american,5.0g,1538mg,17g,1mg,Brazilian Black Bean Stew,70.7g,15g,23932IU,1mg,91mg
Brazilian Chicken with Coconut Milk,62mg,345,72mg,2.8g,49mcg,3mg,52mg,18mg,572,624mg,29.3g,4.27737236022949,58647/brazilian-chicken-with-coconut-milk/,south-american,7.0g,234mg,4g,0mg,Brazilian Chicken with Coconut Milk,11.5g,19.9g,2301IU,1mg,38mg
Brazilian Lemonade,61mg,152,5mg,0.9g,4mcg,0mg,9mg,0mg,442,90mg,1.4g,4.71250009536743,54083/brazilian-lemonade/,south-american,1.0g,28mg,33g,0mg,Brazilian Lemonade,36.2g,1.3g,55IU,0mg,10mg
Brazilian White Rice,19mg,201,0mg,0.7g,107mcg,2mg,13mg,3mg,418,61mg,3.4g,4.40749979019165,144308/brazilian-white-rice/,south-american,1.0g,297mg,0g,0mg,Brazilian White Rice,37.5g,3.7g,0IU,0mg,0mg
Brazilian Fish Stew,116mg,359,42mg,4.8g,41mcg,6mg,93mg,7mg,441,1079mg,27.4g,4.39945650100708,190412/brazilian-fish-stew/,south-american,14.0g,600mg,6g,0mg,Brazilian Fish Stew,15.6g,21.8g,2394IU,1mg,105mg
Brigadeiro,57mg,70,8mg,0.3g,2mcg,0mg,9mg,0mg,483,85mg,1.7g,4.3641791343689,24052/brigadeiro/,south-american,2.0g,29mg,11g,0mg,Brigadeiro,11.1g,2.4g,70IU,0mg,1mg
Brazilian Cheese Bread (Pao de Queijo),131mg,385,71mg,0g,9mcg,1mg,9mg,1mg,566,67mg,6.3g,4.38372087478638,98554/brazilian-cheese-bread-pao-de-queijo/,south-american,5.0g,555mg,1g,0mg,Brazilian Cheese Bread (Pao de Queijo),39.9g,22.6g,146IU,0mg,0mg
Chimichurri Sauce,23mg,133,0mg,0.5g,10mcg,1mg,6mg,0mg,318,53mg,0.3g,4.54460096359253,68003/chimichurri-sauce/,south-american,2.0g,201mg,0g,0mg,Chimichurri Sauce,1.3g,14.2g,487IU,0mg,7mg
Fried Empanadas,14mg,528,33mg,1.1g,48mcg,2mg,13mg,4mg,231,138mg,8g,4.5144510269164995,71805/fried-empanadas/,south-american,7.0g,169mg,2g,0mg,Fried Empanadas,21.4g,46.2g,324IU,0mg,1mg
Refined Sugar Free-Mango Sticky Rice,29mg,332,0mg,4g,25mcg,4mg,53mg,2mg,0,398mg,4g,0.0,256566/refined-sugar-free-mango-sticky-rice/,thai,14.0g,159mg,20g,0mg,Refined Sugar Free-Mango Sticky Rice,45.7g,16.8g,575IU,0mg,22mg
Khao Man Gai Thai Chicken and Rice (Healthy Version),99mg,807,59mg,4.8g,45mcg,5mg,82mg,14mg,0,937mg,37.6g,0.0,257375/khao-man-gai-thai-chicken-and-rice-healthy-version/,thai,2.0g,3154mg,26g,0mg,Khao Man Gai Thai Chicken and Rice (Healthy Version),137.6g,12.4g,1951IU,1mg,340mg
Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),75mg,377,157mg,1g,21mcg,1mg,52mg,8mg,2,258mg,20.5g,4.5,245888/goong-tod-kratiem-prik-thai-prawns-fried-with-garlic-and-white-pepper/,thai,4.0g,1118mg,4g,0mg,Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),19.5g,24.7g,169IU,0mg,3mg
Yam Taeng (Spicy Cucumber Salad),141mg,347,8mg,10.2g,537mcg,7mg,304mg,7mg,2,1253mg,22.5g,5.0,213923/yam-taeng-spicy-cucumber-salad/,thai,1.0g,625mg,4g,1mg,Yam Taeng (Spicy Cucumber Salad),57.9g,4.5g,365IU,0mg,28mg
Pad Kee Mow (Drunkard's Noodles),74mg,301,20mg,2.5g,41mcg,3mg,49mg,6mg,51,338mg,11.8g,4.48717927932739,220443/pad-kee-mow-drunkards-noodles/,thai,1.0g,1204mg,5g,0mg,Pad Kee Mow (Drunkard's Noodles),44.9g,8.3g,2347IU,0mg,38mg
Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),65mg,817,0mg,6.4g,213mcg,7mg,92mg,6mg,351,561mg,8.4g,4.520161151885991,150313/thai-sweet-sticky-rice-with-mango-khao-neeo-mamuang/,thai,22.0g,458mg,76g,1mg,Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),144.3g,26g,1188IU,0mg,44mg
Thai Carrot Salad,32mg,183,0mg,2.7g,27mcg,1mg,32mg,2mg,17,288mg,3.5g,4.800000190734861,239964/thai-carrot-salad/,thai,1.0g,332mg,28g,0mg,Thai Carrot Salad,34.3g,5.4g,9951IU,0mg,6mg
Thai Chicken Satay,41mg,391,66mg,3g,38mcg,3mg,103mg,23mg,72,607mg,35.4g,4.33333349227905,90294/thai-chicken-satay/,thai,9.0g,315mg,0g,0mg,Thai Chicken Satay,9.3g,25g,81IU,1mg,9mg
Thai Red Curry Paste,60mg,103,2mg,3.9g,25mcg,2mg,23mg,1mg,7,271mg,2.6g,4.0,239501/thai-red-curry-paste/,thai,1.0g,593mg,5g,0mg,Thai Red Curry Paste,15g,4.3g,896IU,0mg,12mg
Curried Coconut Chicken,67mg,375,78mg,2.8g,25mcg,5mg,75mg,16mg,5k,647mg,32.2g,4.49371671676636,68532/curried-coconut-chicken/,thai,14.0g,807mg,11g,0mg,Curried Coconut Chicken,16.7g,20.9g,287IU,0mg,10mg
Peanut Butter Noodles,31mg,330,0mg,1.9g,29mcg,1mg,43mg,5mg,1k,275mg,10.7g,4.46728992462158,11835/peanut-butter-noodles/,thai,2.0g,1188mg,9g,0mg,Peanut Butter Noodles,46.8g,12g,63IU,0mg,2mg
The Best Thai Coconut Soup,50mg,368,86mg,2g,28mcg,7mg,94mg,5mg,2k,451mg,13.2g,4.6136155128479,146035/the-best-thai-coconut-soup/,thai,28.0g,579mg,2g,0mg,The Best Thai Coconut Soup,8.9g,32.9g,199IU,0mg,5mg
Pad Thai,62mg,524,178mg,2.9g,52mcg,2mg,60mg,15mg,1k,394mg,26.4g,3.92959761619568,42968/pad-thai/,thai,6.0g,594mg,8g,0mg,Pad Thai,58.5g,20.7g,460IU,1mg,19mg
Chicken Satay,24mg,162,68mg,0.7g,11mcg,1mg,45mg,19mg,575,374mg,28.8g,4.23602485656738,17511/chicken-satay/,thai,1.0g,694mg,2g,0mg,Chicken Satay,4.1g,3g,44IU,1mg,6mg
Spicy Thai Basil Chicken (Pad Krapow Gai),99mg,715,156mg,1.4g,133mcg,5mg,92mg,23mg,1k,670mg,49.8g,4.77094030380249,257938/spicy-thai-basil-chicken-pad-krapow-gai/,thai,7.0g,1182mg,6g,0mg,Spicy Thai Basil Chicken (Pad Krapow Gai),58.6g,30g,1568IU,1mg,31mg
Thai Green Curry Chicken,47mg,472,57mg,1.8g,33mcg,5mg,83mg,8mg,792,475mg,27.1g,4.5296368598938,141833/thai-green-curry-chicken/,thai,24.0g,935mg,7g,0mg,Thai Green Curry Chicken,14.6g,40.9g,526IU,0mg,5mg
Thai Cucumber Salad,48mg,238,0mg,2.8g,46mcg,1mg,62mg,4mg,696,461mg,5.8g,4.62768030166626,169593/thai-cucumber-salad/,thai,1.0g,1751mg,30g,0mg,Thai Cucumber Salad,37.1g,9.4g,471IU,0mg,10mg
Thai Pineapple Chicken Curry,65mg,623,20mg,3.5g,143mcg,7mg,112mg,10mg,458,546mg,20.3g,4.50851058959961,86005/thai-pineapple-chicken-curry/,thai,25.0g,781mg,16g,0mg,Thai Pineapple Chicken Curry,77.5g,34.5g,374IU,0mg,27mg
Thai Red Chicken Curry,29mg,271,59mg,1.9g,34mcg,1mg,32mg,12mg,620,383mg,25.4g,3.83259916305542,85815/thai-red-chicken-curry/,thai,6.0g,147mg,4g,0mg,Thai Red Chicken Curry,11.2g,15.8g,3653IU,0mg,47mg
Thai Chicken with Basil Stir Fry,81mg,506,78mg,2.2g,141mcg,5mg,84mg,19mg,833,462mg,36.9g,4.36602878570557,35892/thai-chicken-with-basil-stir-fry/,thai,7.0g,804mg,2g,0mg,Thai Chicken with Basil Stir Fry,60g,12.1g,855IU,1mg,7mg
Spanakopita,441mg,496,125mg,3.4g,184mcg,5mg,98mg,6mg,49,529mg,17.2g,4.67391300201416,21496/spanakopita/,greek,20.0g,816mg,3g,0mg,Spanakopita,31.1g,34.5g,9913IU,0mg,12mg
Greek Lemon Chicken and Potatoes,93mg,1139,284mg,3g,52mcg,6mg,112mg,36mg,1k,1428mg,80.4g,4.73824119567871,242352/greek-lemon-chicken-and-potatoes/,greek,17.0g,1866mg,2g,0mg,Greek Lemon Chicken and Potatoes,34.5g,74.5g,625IU,2mg,26mg
Greek Stuffed Tomatoes and Peppers (Yemista),49mg,348,44mg,3.4g,89mcg,3mg,36mg,6mg,27,553mg,13g,4.33333349227905,233236/greek-stuffed-tomatoes-and-peppers-yemista/,greek,7.0g,412mg,5g,0mg,Greek Stuffed Tomatoes and Peppers (Yemista),28.5g,20.6g,1394IU,0mg,61mg
Mediterranean Puff Pastry Chicken,181mg,515,101mg,2.1g,94mcg,3mg,50mg,13mg,270,438mg,22.4g,4.5619835853576705,140729/mediterranean-puff-pastry-chicken/,greek,10.0g,524mg,3g,0mg,Mediterranean Puff Pastry Chicken,33.6g,32.6g,1654IU,0mg,9mg
Grecian Pork Tenderloin,91mg,404,65mg,2.2g,19mcg,3mg,44mg,11mg,410,535mg,24.3g,4.57549238204956,14951/grecian-pork-tenderloin/,greek,5.0g,829mg,1g,1mg,Grecian Pork Tenderloin,9.1g,31.1g,343IU,1mg,22mg
Greek Style Garlic Chicken Breast,36mg,644,68mg,1.6g,7mcg,1mg,39mg,19mg,517,360mg,27.8g,4.47301578521729,54202/greek-style-garlic-chicken-breast/,greek,8.0g,660mg,0g,0mg,Greek Style Garlic Chicken Breast,4g,57.6g,136IU,1mg,23mg
Cousin Cosmo's Greek Chicken,131mg,239,85mg,0.8g,52mcg,2mg,54mg,20mg,505,468mg,31g,4.4352517127990705,28362/cousin-cosmos-greek-chicken/,greek,4.0g,686mg,1g,0mg,Cousin Cosmo's Greek Chicken,4.8g,10.2g,1856IU,1mg,10mg
Octapodi Kokkinisto (Greek Octopus in Tomato Sauce),109mg,412,73mg,2.4g,51mcg,10mg,64mg,8mg,24,813mg,24.2g,4.571428775787349,214011/octapodi-kokkinisto-greek-octopus-in-tomato-sauce/,greek,4.0g,502mg,6g,0mg,Octapodi Kokkinisto (Greek Octopus in Tomato Sauce),14.6g,28.8g,734IU,1mg,22mg
Greek Chicken Pasta,125mg,488,55mg,7.5g,169mcg,4mg,71mg,17mg,1k,526mg,32.6g,4.35623741149902,12072/greek-chicken-pasta/,greek,3.0g,444mg,5g,0mg,Greek Chicken Pasta,70g,11.4g,486IU,1mg,56mg
Souvlaki,21mg,189,65mg,1.2g,7mcg,1mg,34mg,11mg,943,467mg,24.2g,4.69621515274048,14713/souvlaki/,greek,2.0g,354mg,1g,1mg,Souvlaki,4.3g,8.1g,86IU,1mg,25mg
Spinach and Feta Pita Bake,149mg,350,13mg,6.9g,142mcg,4mg,96mg,5mg,1k,524mg,11.6g,4.75766849517822,93666/spinach-and-feta-pita-bake/,greek,4.0g,587mg,3g,0mg,Spinach and Feta Pita Bake,41.6g,17.1g,5546IU,0mg,19mg
Greek Penne and Chicken,155mg,685,94mg,7.1g,25mcg,5mg,98mg,26mg,740,654mg,47g,4.32564449310303,11998/greek-penne-and-chicken/,greek,7.0g,826mg,6g,0mg,Greek Penne and Chicken,96.2g,13.2g,920IU,1mg,24mg
Spanakopita (Greek Spinach Pie),495mg,494,100mg,7.4g,391mcg,8mg,175mg,7mg,909,1304mg,18.2g,4.50068950653076,18417/spanakopita-greek-spinach-pie/,greek,11.0g,894mg,5g,0mg,Spanakopita (Greek Spinach Pie),31.5g,34.7g,12264IU,1mg,62mg
Greek Lemon Chicken and Potato Bake,142mg,551,103mg,8.5g,73mcg,6mg,95mg,16mg,3k,1252mg,34.8g,4.64174461364746,242402/greek-lemon-chicken-and-potato-bake/,greek,6.0g,1859mg,3g,0mg,Greek Lemon Chicken and Potato Bake,41.9g,29.1g,1036IU,1mg,49mg
Chicken Souvlaki Gyro Style,566mg,764,133mg,3.8g,144mcg,4mg,80mg,23mg,506,728mg,44.4g,4.67781686782837,72114/chicken-souvlaki-gyro-style/,greek,15.0g,3170mg,12g,1mg,Chicken Souvlaki Gyro Style,55.9g,40.5g,2270IU,1mg,21mg
